row_index,relative_path,category,corrected_garment_id,corrected_fold_id,annotation_present,annotation_box_count,annotation_overlaps_or_touches_garment,garment_only_field_source,selection_cohort,localization_source,reviewer_status,clean_image_relative_path,clean_png_sha256,clean_pixel_sha256,source_sha256
0,A-Line/1-1.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0000.png,f7dc5af74868a56d5bee9cce0934ea09f86d0be30fd949e2a1469d87aa24cdef,b08afaaafb55cfa4c37f0a6f71bc506da95652f8f0a6044bad56f30b0de527ca,41d87c7b002fe3c881d6343382c8db1075b26f9a1d4a3bf529e482402de156f6
1,A-Line/1-10.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0001.png,230e426b087a63ac2fa4f18957d4967dfa9150da33586b8177f7852964f2ed40,7b7afaf8d390427c5eca450309bb98d2e5226871d64970c99430edb6c83336d7,5df0c71069943944ac62ff2f4b88d8c94d46908e76088930d234b25173125ec8
2,A-Line/1-2.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0002.png,81bb1d111d59b55b3d15169940f2ab65f5437a28408f3b6624a003193dfd72af,a8c14f767a01a8143bb477bfa04dc3f0f4d7255f710ab9d6c6845ca36c9238ad,b00165b9ab9ac2f45b3937cf2c11143293420755b6896c5df408facc4fdd73ee
3,A-Line/1-3.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0003.png,fc9c91bf9df8838a216c938e3ca15cef4873e3a8ca2ce081449a9c54b27ae7c0,4bf59db7f28e993fb425f0eb19b0239f2426fd3de45b616fa5262bfac7842448,55a169cfb702938522724ce274dcd4222b9eb9696223094bda548b37547ff361
4,A-Line/1-4.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,quality_control,human_reviewed,human_reviewed,images/0004.png,4cb8905a7ffa57df0202074efde535cb9879e67ae5a3c8ead26a2f34a0522992,61c65dbb909f98c9ba33d2c175b34a50db940536b06cdbb12f3969bd1069fc2d,fbaf9b9f56e5074d1553497d532534641a235383435d1f6416dde2b558550795
5,A-Line/1-5.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0005.png,de10a79c80a8f65769f8b05c4b27c8bc2f272aff2bfc070467e4778514aa7472,262666e20c641bd84a528c500682b637e42f7010e51b459516124b5ca43574a0,c18def8ccab6d18e1e8bd935958a89739275d80064f478f33869652f369096e6
6,A-Line/1-6.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0006.png,ea751c2eba2adb53fd71cd80841e2c24948f1fa12f698b49c37baf53bf0ca371,8644b99f12a84ef7786883071606b31346cbc6e27466db085648a8b73f435d99,cedd01e81292d634979805d9660a3c7d47a604d0199cedc726345203f7805aba
7,A-Line/1-7.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0007.png,dd7b3b3dd3d66453d87178604ae78a457810f046549f8298652363ad587da521,89a0a7053ea0d98e8ce946f6c12ca2778fae1692bd02a47b307f86721416269d,f54209d052d7ab06cb8e9c830d24f0946daa83545848eab6500a8231d43ea0d4
8,A-Line/1-8.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0008.png,23f30cf500ce8fa3f5b4d1d738de1b385d6518c8df71c169278aebb1ed94e123,e5b3b62c1736a87920fa4dfb02df423cebecfc4b75f4b2039584259698bb86d9,50c9c9ffa14436529c1daca0a3922f1b8c1ea6cb0c0fd719ec1976a70fda310d
9,A-Line/1-9.tif,A-Line,A-Line__G01,0,False,0,False,frozen_experiment08_preprocessing_v4,automatic_remainder,automatic_qc_accepted,automatic_remainder_after_frozen_qc,images/0009.png,86b1ece223e4b04cbb612613a60812ad534a4b843e15bf5ae5e27d8cc800b246,c4a71ade1db36d66444927fa2805b251e21afd43e730eb649fceb9880ac716f5,92f0675a24d57a0d926a55582e7f31f687942cfecbf874c49ffcce23501d967e
